Ensembl.Gene.ID	Ensembl.Transcript.ID	Ensembl.Protein.ID	UniProt.SwissProt.Accession	EntrezGene.ID	HGNC.symbol	Description	PSR.total	uncharacterized.gene.symbol	RLR	TLR.CLR.NLR.cytDNA	PRR.and.innate	secreted.UniProt	cell.membrane.UniProt	MitoCarta2	virus.interacting.human.proteins.phisto	virus.interacting.human.proteins.phisto.info	virus.infection.GenomeRNAi	virus.infection.GenomeRNAi.info	expression.mouse.immune.cells.immgen.all.14	expression.mouse.immune.cells.immgen.any	expression.mouse.immune.cells.immgen.info	differential.expression.virus.infection	human.adaptation
ENSG00000000971	ENST00000367429	ENSP00000356399	P08603	3075	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	13	1	0	0	1	1	0	0	1	Hepatitis C virus ISOLATE JFH-1 (Q99IB8)	1	Decreased human papilloma virus 16 (HPV16) pseudovirus infection	0	1	DC MF MO	0	0
ENSG00000003400	ENST00000286186	ENSP00000286186	Q92851	843	CASP10	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:1500]	6	0	1	0	1	0	0	0	1	Human papillomavirus TYPE 8 (HPV 8) (P06428)	0	NA	0	0	NA	0	0
ENSG00000008438	ENST00000008938	ENSP00000008938	O75594	8993	PGLYRP1	peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]	2	0	0	0	1	1	0	0	0	NA	1	Decreased human papilloma virus 16 (HPV16) pseudovirus infection	1	1	ACTT8 B DC GDT GN MF MO NK NKT PRET PROB SP T4 T8	0	0
ENSG00000009709	ENST00000375375	ENSP00000364524	P23759	5081	PAX7	paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621]	2	0	0	0	0	0	0	0	0	NA	1	Decreased human papilloma virus 16 (HPV16) pseudovirus infection; Increased HPV18 LCR reporter activity	0	0	NA	0	0
ENSG00000010610	ENST00000011653	ENSP00000011653	P01730	920	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	2	0	0	0	0	0	1	0	1	Human immunodeficiency virus 1 (HIV1) (O09528); Human immunodeficiency virus 1 (HIV1) (Q9Q723); Human immunodeficiency virus 1 (HIV1) (Q9Q723); Human immunodeficiency virus 1 (HIV1) (Q9Q723); Human immunodeficiency virus 1 (HIV1) (Q03806); Human immunodeficiency virus 1 (HIV1) (Q03806); Human immunodeficiency virus 1 (HIV1) (Q03806); Human immunodeficiency virus 1 (HIV1) (Q9WB91); Human immunodeficiency virus 1 (HIV1) (Q9WB91); Human immunodeficiency virus 1 (HIV1) (Q9WB91); Human immunodeficiency virus 1 (HIV1) (Q9WB91); Human immunodeficiency virus 1 (HIV1) (Q9WB91); Human immunodeficiency virus 1 (HIV1) (Q9WB91); Human immunodeficiency virus 1 (HIV1) (Q9WB91); Human immunodeficiency virus 1 (HIV1) (Q9WB91); Human immunodeficiency virus 1 (HIV1) (Q9WB91); Human immunodeficiency virus 1 (HIV1) (Q9WB91); Human immunodeficiency virus 1 (HIV1) (Q9WB91); Human immunodeficiency virus 1 (HIV1) (Q9WB91); Human immunodeficiency virus 1 (HIV1) (A0ESL8); Human immunodeficiency virus 1 (HIV1) (Q9WB91); Human immunodeficiency virus 1 (HIV1) (Q9WB91); Human immunodeficiency virus 1 (HIV1) ISOLATE BH10  (P03347); Human immunodeficiency virus 1 (HIV1) ISOLATE BH10  (P03366); Human immunodeficiency virus 1 (HIV1) ISOLATE BH10  (P03375); Human immunodeficiency virus 1 (HIV1) ISOLATE BH10  (P03404); Human immunodeficiency virus 1 (HIV1) ISOLATE BH10  (P04616); Human immunodeficiency virus 1 (HIV1) ISOLATE BH10  (P69699); Human immunodeficiency virus 1 (HIV1) ISOLATE BH10  (P69720); Human immunodeficiency virus 1 (HIV1) ISOLATE BH10  (P69725); Human immunodeficiency virus 1 (HIV1) CLONE 12  (P04324); Human immunodeficiency virus 1 (HIV1) CLONE 12  (P04325); Human immunodeficiency virus 1 (HIV1) CLONE 12  (P69722); Human immunodeficiency virus 1 (HIV1) CLONE 12  (P69728); Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE 3  (P05867); Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE 3  (P08805); Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE 3  (P12491); Human immunodeficiency virus 1 (HIV1) ISOLATE Z-84  (P05869); Human immunodeficiency virus 1 (HIV1) ISOLATE Z-84  (P05882); Human immunodeficiency virus 1 (HIV1) ISOLATE Z-84  (P08807); Human immunodeficiency virus 1 (HIV1) ISOLATE Z-84  (P12481); Human immunodeficiency virus 1 (HIV1) ISOLATE BH5 (P04587); Human immunodeficiency virus 1 (HIV1) ISOLATE BH5 (P04593); Human immunodeficiency virus 1 (HIV1) ISOLATE BH5 (P04598); Human immunodeficiency virus 1 (HIV1) ISOLATE BH5 (P05927); Human immunodeficiency virus 1 (HIV1) ISOLATE Z2 / CDC-Z34  (P12478); Human immunodeficiency virus 1 (HIV1) ISOLATE Z2 / CDC-Z34  (P12483); Human immunodeficiency virus 1 (HIV1) ISOLATE Z2 / CDC-Z34  (P12487); Human immunodeficiency virus 1 (HIV1) ISOLATE Z2 / CDC-Z34  (P12495); Human immunodeficiency virus 1 (HIV1) ISOLATE Z2 / CDC-Z34  (P12499); Human immunodeficiency virus 1 (HIV1) ISOLATE Z2 / CDC-Z34  (P12503); Human immunodeficiency virus 1 (HIV1) ISOLATE Z2 / CDC-Z34  (P12515); Human immunodeficiency virus 1 (HIV1) ISOLATE Z2 / CDC-Z34  (P12519); Human immunodeficiency virus 1 (HIV1) ISOLATE BH8  (P04582); Human immunodeficiency virus 1 (HIV1) ISOLATE BH8  (P05855); Human immunodeficiency virus 1 (HIV1) ISOLATE BH8  (P05864); Human immunodeficiency virus 1 (HIV1) ISOLATE BH8  (P05921); Human immunodeficiency virus 1 (HIV1) ISOLATE ARV2 / SF2  (P03349); Human immunodeficiency virus 1 (HIV1) ISOLATE ARV2 / SF2  (P03369); Human immunodeficiency virus 1 (HIV1) ISOLATE ARV2 / SF2  (P03378); Human immunodeficiency virus 1 (HIV1) ISOLATE ARV2 / SF2  (P03402); Human immunodeficiency virus 1 (HIV1) ISOLATE ARV2 / SF2  (P03407); Human immunodeficiency virus 1 (HIV1) ISOLATE ARV2 / SF2  (P04623); Human immunodeficiency virus 1 (HIV1) ISOLATE ARV2 / SF2  (P05949); Human immunodeficiency virus 1 (HIV1) ISOLATE ARV2 / SF2  (P05952); Human immunodeficiency virus 1 (HIV1) ISOLATE BRU  (P03348); Human immunodeficiency virus 1 (HIV1) ISOLATE BRU  (P03367); Human immunodeficiency virus 1 (HIV1) ISOLATE BRU  (P03377); Human immunodeficiency virus 1 (HIV1) ISOLATE BRU  (P03406); Human immunodeficiency virus 1 (HIV1) ISOLATE BRU  (P04620); Human immunodeficiency virus 1 (HIV1) ISOLATE BRU  (P05923); Human immunodeficiency virus 1 (HIV1) ISOLATE BRU  (P05928); Human immunodeficiency virus 1 (HIV1) ISOLATE BRU  (P69721); Human immunodeficiency virus 1 (HIV1) ISOLATE CDC-451 (P05865); Human immunodeficiency virus 1 (HIV1) ISOLATE CDC-451 (P05879); Human immunodeficiency virus 1 (HIV1) ISOLATE CDC-451 (P05887); Human immunodeficiency virus 1 (HIV1) ISOLATE CDC-451 (P05953); Human immunodeficiency virus 1 (HIV1) ISOLATE CDC-451 (P05960); Human immunodeficiency virus 1 (HIV1) ISOLATE CDC-451 (P08803); Human immunodeficiency virus 1 (HIV1) ISOLATE JRCSF  (P20867); Human immunodeficiency virus 1 (HIV1) ISOLATE JRCSF  (P20869); Human immunodeficiency virus 1 (HIV1) ISOLATE JRCSF  (P20871); Human immunodeficiency virus 1 (HIV1) ISOLATE JRCSF  (P20873); Human immunodeficiency virus 1 (HIV1) ISOLATE JRCSF  (P20875); Human immunodeficiency virus 1 (HIV1) ISOLATE JRCSF  (P20877); Human immunodeficiency virus 1 (HIV1) ISOLATE JRCSF  (P20882); Human immunodeficiency virus 1 (HIV1) ISOLATE JRCSF  (P20883); Human immunodeficiency virus 1 (HIV1) ISOLATE ELI  (P04581); Human immunodeficiency virus 1 (HIV1) ISOLATE ELI  (P04589); Human immunodeficiency virus 1 (HIV1) ISOLATE ELI  (P04592); Human immunodeficiency virus 1 (HIV1) ISOLATE ELI  (P04597); Human immunodeficiency virus 1 (HIV1) ISOLATE ELI  (P04604); Human immunodeficiency virus 1 (HIV1) ISOLATE ELI  (P04621); Human immunodeficiency virus 1 (HIV1) ISOLATE ELI  (P05925); Human immunodeficiency virus 1 (HIV1) ISOLATE ELI  (P05956); Human immunodeficiency virus 1 (HIV1) ISOLATE SF33  (P19545); Human immunodeficiency virus 1 (HIV1) ISOLATE SF33  (P19547); Human immunodeficiency virus 1 (HIV1) ISOLATE SF33  (P19549); Human immunodeficiency virus 1 (HIV1) ISOLATE SF33  (P19555); Human immunodeficiency virus 1 (HIV1) ISOLATE SF162  (P19546); Human immunodeficiency virus 1 (HIV1) ISOLATE SF162  (P19548); Human immunodeficiency virus 1 (HIV1) ISOLATE SF162  (P19550); Human immunodeficiency virus 1 (HIV1) ISOLATE SF162  (P19554); Human immunodeficiency virus 1 (HIV1) ISOLATE SF162  (P19554); Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE HZ321  (P05859); Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE HZ321  (P05868); Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE HZ321  (P08806); Human immunodeficiency virus 1 (HIV1) ISOLATE BRAIN  (P12479); Human immunodeficiency virus 1 (HIV1) ISOLATE BRAIN  (P12485); Human immunodeficiency virus 1 (HIV1) ISOLATE BRAIN  (P12488); Human immunodeficiency virus 1 (HIV1) ISOLATE BRAIN  (P12516); Human immunodeficiency virus 1 (HIV1) ISOLATE JH3  (P12480); Human immunodeficiency virus 1 (HIV1) ISOLATE JH3  (P12484); Human immunodeficiency virus 1 (HIV1) ISOLATE JH3  (P12489); Human immunodeficiency virus 1 (HIV1) ISOLATE JH3  (P12494); Human immunodeficiency virus 1 (HIV1) ISOLATE JH3  (P12498); Human immunodeficiency virus 1 (HIV1) ISOLATE JH3  (P12517); Human immunodeficiency virus 1 (HIV1) ISOLATE NDK (P18799); Human immunodeficiency virus 1 (HIV1) ISOLATE NDK (P18800); Human immunodeficiency virus 1 (HIV1) ISOLATE NDK (P18801); Human immunodeficiency virus 1 (HIV1) ISOLATE NDK (P18802); Human immunodeficiency virus 1 (HIV1) ISOLATE NDK (P18803); Human immunodeficiency virus 1 (HIV1) ISOLATE NDK (P18805); Human immunodeficiency virus 1 (HIV1) ISOLATE NDK (P18806); Human immunodeficiency virus 1 (HIV1) ISOLATE MN (P05856); Human immunodeficiency virus 1 (HIV1) ISOLATE MN (P05871); Human immunodeficiency virus 1 (HIV1) ISOLATE MN (P05877); Human immunodeficiency virus 1 (HIV1) ISOLATE MN (P05888); Human immunodeficiency virus 1 (HIV1) ISOLATE MN (P05898); Human immunodeficiency virus 1 (HIV1) ISOLATE MN (P05947); Human immunodeficiency virus 1 (HIV1) ISOLATE MN (P05950); Human immunodeficiency virus 1 (HIV1) ISOLATE MN (P05961); Human immunodeficiency virus 1 (HIV1) ISOLATE MAL (P04583); Human immunodeficiency virus 1 (HIV1) ISOLATE MAL (P04588); Human immunodeficiency virus 1 (HIV1) ISOLATE MAL (P04594); Human immunodeficiency virus 1 (HIV1) ISOLATE MAL (P04599); Human immunodeficiency virus 1 (HIV1) ISOLATE MAL (P04603); Human immunodeficiency virus 1 (HIV1) ISOLATE MAL (P04622); Human immunodeficiency virus 1 (HIV1) ISOLATE MAL (P05924); Human immunodeficiency virus 1 (HIV1) ISOLATE MAL (P05955); Human immunodeficiency virus 1 (HIV1) ISOLATE NEW YORK-5 (P08804); Human immunodeficiency virus 1 (HIV1) ISOLATE NEW YORK-5 (P12490); Human immunodeficiency virus 1 (HIV1) ISOLATE NEW YORK-5 (P12493); Human immunodeficiency virus 1 (HIV1) ISOLATE NEW YORK-5 (P12497); Human immunodeficiency virus 1 (HIV1) ISOLATE NEW YORK-5 (P12504); Human immunodeficiency virus 1 (HIV1) ISOLATE NEW YORK-5 (P12520); Human immunodeficiency virus 1 (HIV1) ISOLATE OYI (P20886); Human immunodeficiency virus 1 (HIV1) ISOLATE OYI (P20887); Human immunodeficiency virus 1 (HIV1) ISOLATE OYI (P20888); Human immunodeficiency virus 1 (HIV1) ISOLATE OYI (P20889); Human immunodeficiency virus 1 (HIV1) ISOLATE OYI (P20890); Human immunodeficiency virus 1 (HIV1) ISOLATE OYI (P20891); Human immunodeficiency virus 1 (HIV1) ISOLATE OYI (P20892); Human immunodeficiency virus 1 (HIV1) ISOLATE RF / HAT  (P04579); Human immunodeficiency virus 1 (HIV1) ISOLATE RF / HAT  (P05858); Human immunodeficiency virus 1 (HIV1) ISOLATE RF / HAT  (P05870); Human immunodeficiency virus 1 (HIV1) ISOLATE RF / HAT  (P05890); Human immunodeficiency virus 1 (HIV1) ISOLATE RF / HAT  (P05900); Human immunodeficiency virus 1 (HIV1) ISOLATE RF / HAT  (P05954); Human immunodeficiency virus 1 (HIV1) ISOLATE RF / HAT  (P05959); Human immunodeficiency virus 1 (HIV1) ISOLATE RF / HAT  (P12518); Human immunodeficiency virus 1 (HIV1) ISOLATE SC  (P05857); Human immunodeficiency virus 1 (HIV1) ISOLATE SC  (P05872); Human immunodeficiency virus 1 (HIV1) ISOLATE SC  (P05878); Human immunodeficiency virus 1 (HIV1) ISOLATE SC  (P05899); Human immunodeficiency virus 1 (HIV1) ISOLATE SC  (P05948); Human immunodeficiency virus 1 (HIV1) ISOLATE SC  (P05951); Human immunodeficiency virus 1 (HIV1) STRAIN UGANDAN / ISOLATE U455 (P24736); Human immunodeficiency virus 1 (HIV1) STRAIN UGANDAN / ISOLATE U455 (P24737); Human immunodeficiency virus 1 (HIV1) STRAIN UGANDAN / ISOLATE U455 (P24739); Human immunodeficiency virus 1 (HIV1) STRAIN UGANDAN / ISOLATE U455 (P24740); Human immunodeficiency virus 1 (HIV1) STRAIN UGANDAN / ISOLATE U455 (P24741); Human immunodeficiency virus 1 (HIV1) ISOLATE MFA  (P19551); Human immunodeficiency virus 1 (HIV1) ISOLATE WMJ2  (P05866); Human immunodeficiency virus 1 (HIV1) ISOLATE WMJ2  (P05880); Human immunodeficiency virus 1 (HIV1) ISOLATE WMJ2  (P05889); Human immunodeficiency virus 1 (HIV1) ISOLATE WMJ2  (P08808); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04578); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04578); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04578); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04585); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04591); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04601); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04618); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P05919); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P69723); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P69726); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P05919); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P05919); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04601); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04601); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04578); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04578); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04578); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04578); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04578); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04601); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04601); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04601); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04578); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04601); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04601); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2  (P04601); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB3 (P69700); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB3 (P04624); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB3 (P05854); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB3 (P69700); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB3 (P69718); Human immunodeficiency virus 1 (HIV1) ISOLATE HXB3 (P69727); Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE 6 (P04580); Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE 6 (P04586); Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE 6 (P04596); Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE 6 (P04602); Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE 6 (P04619); Human immunodeficiency virus 1 ISOLATE WMJ1 (P31872); Human immunodeficiency virus 1 ISOLATE KB-1 (P31819); Human immunodeficiency virus 1 ISOLATE NIT-A (P31820); Human immunodeficiency virus 1 ISOLATE lw12.3  (Q70622); Human immunodeficiency virus 1 ISOLATE lw12.3  (Q70623); Human immunodeficiency virus 1 ISOLATE lw12.3  (Q70624); Human immunodeficiency virus 1 ISOLATE lw12.3  (Q70625); Human immunodeficiency virus 1 ISOLATE lw12.3  (Q70626); Human immunodeficiency virus 1 ISOLATE lw12.3  (Q70627); Human immunodeficiency virus 1 ISOLATE LAI (Q9QPN3); Human immunodeficiency virus 1 ISOLATE YU2 (P35959); Human immunodeficiency virus 1 ISOLATE YU2 (P35960); Human immunodeficiency virus 1 ISOLATE YU2 (P35961); Human immunodeficiency virus 1 ISOLATE YU2 (P35962); Human immunodeficiency virus 1 ISOLATE YU2 (P35966); Human immunodeficiency virus 1 ISOLATE YU2 (P35967); Human immunodeficiency virus 1 ISOLATE YU2 (P35963); Human immunodeficiency virus 1 ISOLATE YU2 (P35964); Herpesvirus saimiri STRAIN 488 (P22575); Herpesvirus saimiri STRAIN 488 (P22575)	0	NA	0	1	DC GDT MF NKT PRET T4	0	0
ENSG00000012124	ENST00000085219	ENSP00000085219	P20273	933	CD22	CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]	5	0	0	0	1	0	1	0	0	NA	0	NA	0	1	ACTT8 B DC GDT MF MO NK PROB SP T4	0	0
ENSG00000012223	ENST00000231751	ENSP00000231751	P02788	4057	LTF	lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]	5	0	0	0	0	1	0	0	1	Human immunodeficiency virus 1 (HIV1) (B0FAM1); Hepatitis C virus (Q68949); Hepatitis C virus (Q68949); Hepatitis C virus ISOLATE H (P27958); Hepatitis C virus ISOLATE H (P27958); Hepatitis C virus ISOLATE H (P27958); Hepatitis C virus ISOLATE H (P27958); Hepatitis C virus ISOLATE H (P27958); Hepatitis C virus ISOLATE H (P27958); Hendra virus ISOLATE HORSE / AUSTRALIA / HENDRA / 1994 (P0C1C6); Hendra virus ISOLATE HORSE / AUSTRALIA / HENDRA / 1994 (P0C1C6)	0	NA	0	1	DC GN MF MO PROB SP	0	0
ENSG00000016490	ENST00000234701	ENSP00000234701	A8K7I4	1179	CLCA1	chloride channel accessory 1 [Source:HGNC Symbol;Acc:HGNC:2015]	1	0	0	0	0	1	1	0	0	NA	0	NA	0	0	NA	0	0
ENSG00000016602	ENST00000370563	ENSP00000359594	Q14CN2	22802	CLCA4	chloride channel accessory 4 [Source:HGNC Symbol;Acc:HGNC:2018]	4	0	0	0	0	1	1	0	0	NA	0	NA	0	1	ACTT8 B DC GDT GN MO NK NKT PRET PROB T4 T8	0	0
ENSG00000019169	ENST00000327097	ENSP00000318916	Q9UEW3	8685	MARCO	macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895]	1	0	0	0	1	0	0	0	1	Human herpesvirus 4 (Epstein-Barr virus) STRAIN B95-8 (P0CK47); Human herpesvirus 4 (Epstein-Barr virus) STRAIN AG876 (P0CK48); Human herpesvirus 4 (Epstein-Barr virus) STRAIN AG876 (P0C6Z1); Human herpesvirus 4 (Epstein-Barr virus) STRAIN AG876 (P0C6Z1); Human herpesvirus 4 (Epstein-Barr virus) STRAIN AG876 (P0CK48)	0	NA	0	1	MF	0	0
