Ensembl.Gene.ID	Ensembl.Transcript.ID	HGNC.Symbol	UniProt.SwissProt.Accession	UniProt.SwissProt.Length	PSG	PSR.total	ExAC.unique_variants.missense.background	ExAC.unique_variants.missense.observed	ExAC.unique_variants.missense.observed.per_codon	ExAC.unique_variants.synonymous.background	ExAC.unique_variants.synonymous.observed	ExAC.unique_variants.synonymous.observed.per_codon	ExAC.unique_variants.dN_dS	ExAC.allele_frequencies.total_missense.per_codon	ExAC.allele_frequencies.total_synonymous.per_codon	ExAC.allele_frequencies.total_missense_over_total_synonymous.per_codon
ENSG00000000003	ENST00000373020	TSPAN6	O43657	245	FALSE	NA	1620	59	0.240816326530612	489	26	0.106122448979592	0.68497150997151	0.00047872552244898	6.07182448979592e-06	0.321811298657486
ENSG00000000005	ENST00000373031	TNMD	Q9H2S6	317	FALSE	NA	2120	63	0.198738170347003	579	32	0.100946372239748	0.537691627358491	NA	NA	NA
ENSG00000000457	ENST00000367772	SCYL3	Q8IZE3	742	FALSE	NA	4863	225	0.303234501347709	1502	108	0.1455525606469	0.643464253889917	NA	NA	NA
ENSG00000000938	ENST00000374005	FGR	P09769	529	FALSE	NA	3480	119	0.224952741020794	1088	89	0.168241965973535	0.418029187653364	6.97683553875236e-06	5.40451096408318e-05	0.000244031793323122
ENSG00000001036	ENST00000002165	FUCA2	Q9BTY2	467	FALSE	NA	3074	145	0.310492505353319	918	70	0.149892933618844	0.618598382749326	0.00138579864239829	0.000826585077087794	0.0035900102667148
ENSG00000001084	ENST00000229416	GCLC	P48506	637	FALSE	NA	4237	134	0.210361067503925	1233	88	0.138147566718995	0.443125496170103	1.34996295133438e-05	5.97934866562009e-05	0.000354428420135642
ENSG00000001167	ENST00000341376	NFYA	P23511	347	FALSE	NA	2253	55	0.15850144092219	738	50	0.144092219020173	0.360319573901465	NA	NA	NA
ENSG00000001460	ENST00000374409	STPG1	Q5TH74	334	FALSE	NA	2190	128	0.383233532934132	677	52	0.155688622754491	0.76094134176326	NA	NA	NA
ENSG00000001461	ENST00000374399	NIPAL3	Q6P499	406	FALSE	NA	2675	152	0.374384236453202	857	97	0.238916256157635	0.502029097215531	NA	NA	NA
ENSG00000001497	ENST00000374811	LAS1L	Q9Y4W2	734	FALSE	NA	4851	113	0.153950953678474	1445	80	0.108991825613079	0.420750876108019	7.37383514986376e-06	4.44257629427793e-06	0.00226132232041996
ENSG00000001561	ENST00000321037	ENPP4	Q9Y6X5	453	FALSE	NA	3044	143	0.315673289183223	855	53	0.116997792494481	0.75784717229068	0.00117621601324503	0.000190278456953642	0.013645808264723
ENSG00000001617	ENST00000002829	SEMA3F	Q13275	785	FALSE	NA	5119	286	0.364331210191083	1702	171	0.217834394904459	0.556089057050388	NA	NA	NA
ENSG00000001626	ENST00000003084	CFTR	P13569	1480	FALSE	NA	9730	715	0.483108108108108	2940	183	0.123648648648649	1.18056374572473	0.000398271130405405	0.000478131335810811	0.000562820495089381
ENSG00000001629	ENST00000265742	ANKIB1	Q9P2G1	1089	FALSE	NA	7240	236	0.216712580348944	2102	116	0.106519742883379	0.590674414174128	0.000482034354453627	0.000174697988062443	0.0025337409368705
ENSG00000001631	ENST00000394507	KRIT1	O00522	736	FALSE	NA	4877	192	0.260869565217391	1389	93	0.126358695652174	0.587987062379702	1.1135316576087e-05	0.000185713730978261	8.14668152850823e-05
ENSG00000002016	ENST00000358495	RAD52	P43351	418	FALSE	NA	2736	166	0.397129186602871	855	72	0.172248803827751	0.720486111111111	NA	NA	NA
ENSG00000002330	ENST00000394532	BAD	Q92934	168	FALSE	NA	1116	63	0.375	345	35	0.208333333333333	0.556451612903226	9.28632142857143e-06	0.000747974392857143	7.39005550416923e-05
ENSG00000002549	ENST00000226299	LAP3	P28838	519	FALSE	NA	3416	177	0.341040462427746	1075	94	0.18111753371869	0.592565025661468	1.91222312138728e-05	0.00151037336223507	2.43942173874856e-05
ENSG00000002587	ENST00000002596	HS3ST1	O14792	307	FALSE	NA	2029	124	0.403908794788274	637	69	0.224755700325733	0.564195970028786	3.881532247557e-05	0.00153539932247557	8.23461840277938e-05
ENSG00000002726	ENST00000416793	AOC1	P19801-2	770	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0.00236480263376623	0.00324998278441558	0.000944981083091097
ENSG00000002745	ENST00000222462	WNT16	Q9UBV4	365	FALSE	NA	2422	146	0.4	712	58	0.158904109589041	0.739998291523107	NA	NA	NA
ENSG00000002746	ENST00000395891	HECW1	Q76N89	1606	FALSE	NA	10581	490	0.305105853051059	3296	302	0.188044831880448	0.505416744120256	0.000133904137608966	0.00121187180821918	6.8800528333589e-05
ENSG00000002919	ENST00000393405	SNX11	Q9Y5W9	270	FALSE	NA	1754	94	0.348148148148148	558	38	0.140740740740741	0.786953129688531	NA	NA	NA
ENSG00000003056	ENST00000000412	M6PR	P20645	277	FALSE	NA	1820	78	0.28158844765343	563	31	0.111913357400722	0.778341013824885	1.31420866425993e-05	2.5273357400722e-06	0.0187724786059138
ENSG00000003137	ENST00000001146	CYP26B1	Q9NR63	512	FALSE	NA	3350	196	0.3828125	1122	125	0.244140625	0.525162985074627	0.00037793866796875	0.000184824677734375	0.00399384687112687
ENSG00000003400	ENST00000286186	CASP10	Q92851-4	522	TRUE	6	NA	NA	NA	NA	NA	NA	NA	0.000953823881226054	0.00087711969348659	0.00208323770196734
ENSG00000003402	ENST00000309955	CFLAR	O15519	480	FALSE	NA	3180	92	0.191666666666667	937	62	0.129166666666667	0.437228646784338	1.81032729166667e-05	0.000989606560416667	3.81112589773481e-05
ENSG00000003509	ENST00000002125	NDUFAF7	Q7L592	441	FALSE	NA	2887	193	0.437641723356009	908	72	0.163265306122449	0.843070469152908	NA	NA	NA
ENSG00000003987	ENST00000180173	MTMR7	Q9Y216	660	FALSE	NA	4409	318	0.481818181818182	1262	134	0.203030303030303	0.679268660101624	NA	NA	NA
ENSG00000003989	ENST00000004531	SLC7A2	P52569-3	698	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0.000735363851002865	0.000143530898280802	0.00734009112404374
ENSG00000004399	ENST00000324093	PLXND1	Q9Y4D7	1925	FALSE	NA	12588	631	0.327792207792208	4209	404	0.20987012987013	0.522240063615513	NA	NA	NA
ENSG00000004468	ENST00000226279	CD38	P28907	300	FALSE	NA	2007	109	0.363333333333333	578	30	0.1	1.04637103471184	2.25955466666667e-05	0.00021692264	0.000347213591393175
ENSG00000004478	ENST00000001008	FKBP4	Q02790	459	FALSE	NA	3039	140	0.305010893246187	897	76	0.16557734204793	0.543721099392113	5.69736557734205e-05	7.38624183006536e-06	0.0168049753260922
ENSG00000004487	ENST00000400181	KDM1A	O60341-2	876	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	8.32715182648402e-06	3.2541196347032e-05	0.000292118365258818
ENSG00000004534	ENST00000266022	RBM6	P78332	1123	FALSE	NA	7422	334	0.297417631344613	2182	137	0.121994657168299	0.716736787652412	NA	NA	NA
ENSG00000004766	ENST00000305866	CCDC132	Q96JG6	964	FALSE	NA	6399	225	0.233402489626556	1831	113	0.117219917012448	0.569744719515079	NA	NA	NA
ENSG00000004776	ENST00000592984	HSPB6	O14558	160	FALSE	NA	1008	32	0.2	393	12	0.075	1.03968253968254	9.718675e-06	3.8688125e-06	0.0157003521752476
ENSG00000004799	ENST00000005178	PDK4	Q16654	411	FALSE	NA	2713	164	0.399026763990268	823	68	0.165450121654501	0.731619002189892	0.000229860114355231	0.00126135288321168	0.00044338928358038
ENSG00000004809	ENST00000368919	SLC22A16	Q86VW1	577	FALSE	NA	3777	266	0.461005199306759	1191	108	0.187175043327556	0.776645191657106	NA	NA	NA
ENSG00000004838	ENST00000231749	ZMYND10	O75800	440	FALSE	NA	2872	158	0.359090909090909	913	56	0.127272727272727	0.896923497811381	NA	NA	NA
ENSG00000004846	ENST00000404938	ABCB5	Q2M3G0	1257	FALSE	NA	8250	595	0.473349244232299	2555	208	0.165473349244232	0.885912004662005	0.00161365760222753	0.000726416882259348	0.0017672182256123
ENSG00000004864	ENST00000416240	SLC25A13	Q9UJS0-2	676	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	9.56498964497041e-06	0.0006286855	2.25063135159512e-05
ENSG00000004866	ENST00000265437	ST7	Q2QLE8	585	FALSE	NA	3847	107	0.182905982905983	1172	79	0.135042735042735	0.412631246442238	1.46430888888889e-05	3.60442393162393e-06	0.00694449977372957
ENSG00000004939	ENST00000262418	SLC4A1	P02730	911	FALSE	NA	5896	307	0.336992316136114	2049	190	0.208562019758507	0.561525208883811	0.000138099403951701	0.000173194744237102	0.000875263299171138
ENSG00000004961	ENST00000321143	HCCS	P53701	268	FALSE	NA	1764	59	0.220149253731343	510	24	0.0895522388059701	0.710742630385488	7.98561194029851e-05	9.3720895522388e-06	0.0317934003005849
ENSG00000004975	ENST00000005340	DVL2	O14641	736	FALSE	NA	4808	316	0.429347826086957	1628	159	0.216032608695652	0.672945510103706	4.10561236413043e-05	0.0027858681888587	2.00234802599931e-05
ENSG00000005007	ENST00000599848	UPF1	Q92900	1129	FALSE	NA	7423	180	0.159433126660762	2357	263	0.232949512843224	0.217318589995436	NA	NA	NA
ENSG00000005020	ENST00000345317	SKAP2	O75563	359	FALSE	NA	2417	104	0.289693593314763	640	40	0.11142061281337	0.688456764584195	0.000366105259052925	1.89296267409471e-05	0.0538727900926294
ENSG00000005073	ENST00000006015	HOXA11	P31270	313	FALSE	NA	2041	94	0.300319488817891	668	67	0.21405750798722	0.459183748089538	1.11996198083067e-05	1.59898881789137e-05	0.00223776004769522
ENSG00000005102	ENST00000318579	MEOX1	P50221	254	FALSE	NA	1664	105	0.413385826771654	535	50	0.196850393700787	0.675180288461538	0.000453123244094488	2.90332637795276e-05	0.0614450305500097
ENSG00000005108	ENST00000423059	THSD7A	Q9UPZ6	1657	FALSE	NA	10882	675	0.407362703681352	3221	297	0.179239589619795	0.672712235384538	0.000760528697646349	0.000725153334339167	0.000632941030240851
ENSG00000005156	ENST00000378526	LIG3	P49916	1009	FALSE	NA	6670	328	0.325074331020813	2039	150	0.148662041625372	0.668457771114443	1.98768027750248e-05	2.34525203171457e-05	0.000839973996130882
ENSG00000005175	ENST00000005386	RPAP3	Q9H6T3	665	FALSE	NA	4410	211	0.317293233082707	1238	78	0.117293233082707	0.759398802255945	NA	NA	NA
ENSG00000005187	ENST00000289416	ACSM3	Q53FZ2	586	FALSE	NA	3849	202	0.344709897610922	1173	77	0.131399317406143	0.799485783117895	0.000209905745733788	4.61094453924915e-05	0.00776849359685984
ENSG00000005189	ENST00000261377	AC004381.6	Q96IC2	774	FALSE	NA	5081	213	0.275193798449612	1579	108	0.13953488372093	0.612898816943296	NA	NA	NA
ENSG00000005194	ENST00000394391	CIAPIN1	Q6FI81	312	FALSE	NA	2035	97	0.310897435897436	663	46	0.147435897435897	0.687009934836022	0.000181098012820513	0.000124914743589744	0.00464670808347521
ENSG00000005249	ENST00000265717	PRKAR2B	P31323	418	FALSE	NA	2770	78	0.186602870813397	845	61	0.145933014354067	0.390069243060898	4.84551674641148e-06	0.00188546473444976	6.14816342864467e-06
ENSG00000005302	ENST00000312196	MSL3	Q8N5Y2	521	FALSE	NA	3467	86	0.165067178502879	1005	52	0.0998080614203455	0.479410263805995	1.44369558541267e-05	3.57954510556622e-05	0.000774123169133141
ENSG00000005339	ENST00000262367	CREBBP	Q92793	2442	FALSE	NA	16099	628	0.257166257166257	5015	530	0.217035217035217	0.369109999800761	2.35966998361998e-05	0.000133081789107289	7.26084185567417e-05
