Ensembl.Gene.ID	Ensembl.Transcript.ID	Ensembl.Protein.ID	EntrezGene.ID	HGNC.symbol	Description	aPSR.total	human.sequence.length	protein.alignment.length	branch.length.ratio.longest.average	aPSG.with.3ormore.aPSR.and.all.aPSR.within.single.exon	Artefact	Artefact.classification
ENSG00000000971	ENST00000367429	ENSP00000356399	3075	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	13	1231	1798	2.75675984763908	0	0	
ENSG00000003400	ENST00000286186	ENSP00000286186	843	CASP10	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:1500]	6	522	543	3.33334760441872	0	0	
ENSG00000007038	ENST00000005995	ENSP00000005995	10942	PRSS21	protease, serine, 21 (testisin) [Source:HGNC Symbol;Acc:HGNC:9485]	7	314	371	5.54759760849355	0	1	1b 2
ENSG00000008438	ENST00000008938	ENSP00000008938	8993	PGLYRP1	peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]	2	196	196	3.05532577713101	0	0	
ENSG00000009709	ENST00000375375	ENSP00000364524	5081	PAX7	paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621]	2	520	568	3.93242572588708	0	0	
ENSG00000010610	ENST00000011653	ENSP00000011653	920	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	2	458	560	3.48156453248658	0	0	
ENSG00000012124	ENST00000085219	ENSP00000085219	933	CD22	CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]	5	847	950	3.98047233072779	0	0	
ENSG00000012223	ENST00000231751	ENSP00000231751	4057	LTF	lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]	5	710	796	2.64589518445126	0	0	
ENSG00000016490	ENST00000234701	ENSP00000234701	1179	CLCA1	chloride channel accessory 1 [Source:HGNC Symbol;Acc:HGNC:2015]	1	914	1017	2.93091942973507	0	0	
ENSG00000016602	ENST00000370563	ENSP00000359594	22802	CLCA4	chloride channel accessory 4 [Source:HGNC Symbol;Acc:HGNC:2018]	4	919	934	2.83223140485305	0	0	
ENSG00000019169	ENST00000327097	ENSP00000318916	8685	MARCO	macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895]	1	520	695	4.35364944309978	0	0	
ENSG00000021852	ENST00000371237	ENSP00000360281	732	C8B	complement component 8, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:1353]	1	591	594	3.17345707150393	0	0	
ENSG00000026103	ENST00000355740	ENSP00000347979	355	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	3	335	815	3.73275747275851	0	0	
ENSG00000026751	ENST00000368043	ENSP00000357022	57823	SLAMF7	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]	1	335	371	3.9295938952777	0	0	
ENSG00000029725	ENST00000537505	ENSP00000445408	9135	RABEP1	rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]	1	862	908	2.59595597920661	0	1	3a
ENSG00000043514	ENST00000316891	ENSP00000321810	54802	TRIT1	tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286]	1	467	476	2.95414839289451	0	0	
ENSG00000046774	ENST00000247452	ENSP00000354660	51438	MAGEC2	melanoma antigen family C, 2 [Source:HGNC Symbol;Acc:HGNC:13574]	5	373	394	4.1565390770986	1	0	
ENSG00000047457	ENST00000264613	ENSP00000264613	1356	CP	ceruloplasmin (ferroxidase) [Source:HGNC Symbol;Acc:HGNC:2295]	1	1065	1095	3.28238174802312	0	1	3b
ENSG00000049883	ENST00000380639	ENSP00000370013	79810	PTCD2	pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734]	1	388	426	3.26110128459824	0	0	
ENSG00000050344	ENST00000056233	ENSP00000056233	9603	NFE2L3	nuclear factor, erythroid 2-like 3 [Source:HGNC Symbol;Acc:HGNC:7783]	1	694	707	3.20350722660586	0	0	
ENSG00000053501	ENST00000263897	ENSP00000263897	55850	USE1	unconventional SNARE in the ER 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:30882]	3	259	274	2.77875423264381	1	1	2
ENSG00000055955	ENST00000266041	ENSP00000266041	3700	ITIH4	inter-alpha-trypsin inhibitor heavy chain family, member 4 [Source:HGNC Symbol;Acc:HGNC:6169]	2	930	971	4.2394223481681	0	0	
ENSG00000058272	ENST00000450142	ENSP00000389168	4659	PPP1R12A	protein phosphatase 1, regulatory subunit 12A [Source:HGNC Symbol;Acc:HGNC:7618]	4	1030	1085	3.12601496119413	0	1	2
ENSG00000062096	ENST00000381127	ENSP00000370519	416	ARSF	arylsulfatase F [Source:HGNC Symbol;Acc:HGNC:721]	1	590	604	3.21576950278379	0	0	
ENSG00000063127	ENST00000335875	ENSP00000338627	28968	SLC6A16	solute carrier family 6, member 16 [Source:HGNC Symbol;Acc:HGNC:13622]	1	736	781	3.91147233485605	0	0	
ENSG00000066405	ENST00000183605	ENSP00000183605	51208	CLDN18	claudin 18 [Source:HGNC Symbol;Acc:HGNC:2039]	16	261	264	8.03484738561502	1	1	2
ENSG00000067113	ENST00000264775	ENSP00000264775	8611	PPAP2A	phosphatidic acid phosphatase type 2A [Source:HGNC Symbol;Acc:HGNC:9228]	4	285	530	5.89331735774061	1	1	2
ENSG00000067560	ENST00000418115	ENSP00000400175	387	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	1	193	289	3.95365210811295	0	1	2
ENSG00000068985	ENST00000376150	ENSP00000365320	8712	PAGE1	P antigen family, member 1 (prostate associated) [Source:HGNC Symbol;Acc:HGNC:4107]	6	146	178	4.73480232258793	0	0	
