Ensembl.Gene.ID	Chimpanzee.Ensembl.Gene.ID	Gibbon.Ensembl.Gene.ID	Gorilla.Ensembl.Gene.ID	Marmoset.Ensembl.Gene.ID	Olive.baboon.Ensembl.Gene.ID	Orangutan.Ensembl.Gene.ID	Vervet.AGM.Ensembl.Gene.ID	Macaque.Ensembl.Gene.ID
ENSG00000000003	ENSPTRG00000022087	ENSNLEG00000007505	ENSGGOG00000010003	ENSCJAG00000004288	ENSPANG00000018367	ENSPPYG00000020538	ENSCSAG00000010385	ENSMMUG00000008209
ENSG00000000005	ENSPTRG00000022086	ENSNLEG00000007504	ENSGGOG00000017007	ENSCJAG00000004270	ENSPANG00000016641	ENSPPYG00000020537	ENSCSAG00000010392	ENSMMUG00000008212
ENSG00000000419	ENSPTRG00000013625	ENSNLEG00000006998	ENSGGOG00000008993	ENSCJAG00000000551	ENSPANG00000000450	ENSPPYG00000011131	ENSCSAG00000015216	ENSMMUG00000002759
ENSG00000000457	ENSPTRG00000001665	ENSNLEG00000015072	ENSGGOG00000011643	ENSCJAG00000010050	ENSPANG00000011375	ENSPPYG00000000525	ENSCSAG00000011444	ENSMMUG00000016583
ENSG00000000460	ENSPTRG00000001664	ENSNLEG00000015050	ENSGGOG00000016160	ENSCJAG00000010088	ENSPANG00000005096	ENSPPYG00000000526	ENSCSAG00000011378	ENSMMUG00000016582
ENSG00000000938	ENSPTRG00000000411	ENSNLEG00000009650	ENSGGOG00000000775	ENSCJAG00000009293	ENSPANG00000016682	ENSPPYG00000001659	ENSCSAG00000000996	ENSMMUG00000014434
ENSG00000000971	ENSPTRG00000001799	ENSNLEG00000018052	ENSGGOG00000012348	ENSCJAG00000008415	ENSPANG00000012544	ENSPPYG00000000392	ENSCSAG00000013551	ENSMMUG00000014139
ENSG00000001036	ENSPTRG00000018671	ENSNLEG00000015089	ENSGGOG00000011262	ENSCJAG00000019246	ENSPANG00000024444	ENSPPYG00000017062	ENSCSAG00000017087	ENSMMUG00000005366
ENSG00000001084	ENSPTRG00000018290	ENSNLEG00000003422	ENSGGOG00000006714	ENSCJAG00000011063	ENSPANG00000016920	ENSPPYG00000016722	ENSCSAG00000013162	ENSMMUG00000008684
ENSG00000001167	ENSPTRG00000018146	ENSNLEG00000005028	ENSGGOG00000008485	ENSCJAG00000004074	ENSPANG00000009714	ENSPPYG00000016588	ENSCSAG00000011196	ENSMMUG00000021173
ENSG00000001460	ENSPTRG00000000345	ENSNLEG00000008905	ENSGGOG00000001796	ENSCJAG00000020857	ENSPANG00000023479	ENSPPYG00000001720	ENSCSAG00000000940	ENSMMUG00000004464
ENSG00000001461	ENSPTRG00000000346	ENSNLEG00000008932	ENSGGOG00000014858	ENSCJAG00000020848	ENSPANG00000005051	ENSPPYG00000001719	ENSCSAG00000000941	ENSMMUG00000004466
ENSG00000001497	ENSPTRG00000021970	ENSNLEG00000000386	ENSGGOG00000008739	ENSCJAG00000001434	ENSPANG00000005318	ENSPPYG00000020417	ENSCSAG00000011953	ENSMMUG00000003922
ENSG00000001561	ENSPTRG00000018231	ENSNLEG00000003581	ENSGGOG00000007462	ENSCJAG00000012114	ENSPANG00000000926	ENSPPYG00000016666	ENSCSAG00000012547	ENSMMUG00000029627
ENSG00000001617	ENSPTRG00000014948	ENSNLEG00000006953	ENSGGOG00000008650	ENSCJAG00000004851	ENSPANG00000012481	ENSPPYG00000013854	ENSCSAG00000014384	ENSMMUG00000010337
ENSG00000001626	ENSPTRG00000019619	ENSNLEG00000011680	ENSGGOG00000004019	ENSCJAG00000004895	ENSPANG00000015987	ENSPPYG00000017940	ENSCSAG00000010820	ENSMMUG00000011269
ENSG00000001629	ENSPTRG00000019394	ENSNLEG00000015287	ENSGGOG00000006851	ENSCJAG00000013964	ENSPANG00000017286	ENSPPYG00000029404	ENSCSAG00000012579	ENSMMUG00000005120
ENSG00000001631	ENSPTRG00000019393	ENSNLEG00000015256	ENSGGOG00000001906	ENSCJAG00000014000	ENSPANG00000024548	ENSPPYG00000017822	ENSCSAG00000012569	ENSMMUG00000014907
ENSG00000002016	ENSPTRG00000004514	ENSNLEG00000002406	ENSGGOG00000006474	ENSCJAG00000000631	ENSPANG00000005954	ENSPPYG00000004138	ENSCSAG00000011672	ENSMMUG00000018654
ENSG00000002330	ENSPTRG00000003830	ENSNLEG00000004948	ENSGGOG00000012256	ENSCJAG00000018074	ENSPANG00000012183	ENSPPYG00000003110	ENSCSAG00000007151	ENSMMUG00000012952
ENSG00000002549	ENSPTRG00000015938	ENSNLEG00000016606	ENSGGOG00000001110	ENSCJAG00000012680	ENSPANG00000005671	ENSPPYG00000014626	ENSCSAG00000016492	ENSMMUG00000005732
ENSG00000002587	ENSPTRG00000015919	ENSNLEG00000016241	ENSGGOG00000015625	ENSCJAG00000012119	ENSPANG00000000271	ENSPPYG00000014609	ENSCSAG00000019699	ENSMMUG00000001341
ENSG00000002726	ENSPTRG00000019866	ENSNLEG00000003920	ENSGGOG00000002416	ENSCJAG00000020136	ENSPANG00000007750	ENSPPYG00000018176	ENSCSAG00000006844	ENSMMUG00000020435
ENSG00000002745	ENSPTRG00000019627	ENSNLEG00000011905	ENSGGOG00000016506	ENSCJAG00000017199	ENSPANG00000025364	ENSPPYG00000017947	ENSCSAG00000010637	ENSMMUG00000002439
ENSG00000002746	ENSPTRG00000019123	ENSNLEG00000003209	ENSGGOG00000024448	ENSCJAG00000007768	ENSPANG00000022845	ENSPPYG00000017608	ENSCSAG00000015421	ENSMMUG00000019015
ENSG00000002822	ENSPTRG00000018855	ENSNLEG00000008599	ENSGGOG00000034992	ENSCJAG00000001463	ENSPANG00000025002	ENSPPYG00000017307	ENSCSAG00000017583	ENSMMUG00000011659
ENSG00000002834	ENSPTRG00000009081	ENSNLEG00000000657	ENSGGOG00000003369	ENSCJAG00000008328	ENSPANG00000021995	ENSPPYG00000008500	ENSCSAG00000002659	ENSMMUG00000007799
ENSG00000002919	ENSPTRG00000009349	ENSNLEG00000002479	ENSGGOG00000025896	ENSCJAG00000007520	ENSPANG00000022898	ENSPPYG00000008892	ENSCSAG00000002545	ENSMMUG00000020658
ENSG00000003056	ENSPTRG00000004648	ENSNLEG00000002903	ENSGGOG00000010747	ENSCJAG00000018701	ENSPANG00000014120	ENSPPYG00000004247	ENSCSAG00000009501	ENSMMUG00000017846
ENSG00000003137	ENSPTRG00000012051	ENSNLEG00000010340	ENSGGOG00000004577	ENSCJAG00000003816	ENSPANG00000007513	ENSPPYG00000012307	ENSCSAG00000015298	ENSMMUG00000012141
ENSG00000003147	ENSPTRG00000018931	ENSNLEG00000016162	ENSGGOG00000007090	ENSCJAG00000000720	ENSPANG00000012997	ENSPPYG00000017783	ENSCSAG00000013228	ENSMMUG00000005435
ENSG00000003400	ENSPTRG00000012800	ENSNLEG00000006951	ENSGGOG00000012288	ENSCJAG00000004540	ENSPANG00000018306	ENSPPYG00000013070	ENSCSAG00000010787	ENSMMUG00000031297
ENSG00000003402	ENSPTRG00000012798	ENSNLEG00000006947	ENSGGOG00000010972	ENSCJAG00000004505	ENSPANG00000009268	ENSPPYG00000013068	ENSCSAG00000010798	ENSMMUG00000012310
